"Class Molecular Function"	"Total of Genes"
"GO:0043022 - ribosome binding"	33
"GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"	32
"GO:0050661 - NADP binding"	32
"GO:0000155 - phosphorelay sensor kinase activity"	31
"GO:0016791 - phosphatase activity"	31
"GO:0000987 - cis-regulatory region sequence-specific DNA binding"	29
"GO:0003924 - GTPase activity"	29
"GO:0004673 - protein histidine kinase activity"	29
"GO:0071949 - FAD binding"	29
"GO:0000156 - phosphorelay response regulator activity"	28
"GO:0030246 - carbohydrate binding"	28
"GO:0004386 - helicase activity"	27
"GO:0001217 - DNA-binding transcription repressor activity"	26
"GO:0008198 - ferrous iron binding"	26
"GO:0004553 - hydrolase activity, hydrolyzing O-glycosyl compounds"	25
"GO:0004812 - aminoacyl-tRNA ligase activity"	25
"GO:0048027 - mRNA 5'-UTR binding"	25
"GO:0003697 - single-stranded DNA binding"	24
"GO:0016831 - carboxy-lyase activity"	24
"GO:0004175 - endopeptidase activity"	23
"GO:0004527 - exonuclease activity"	23
"GO:0004721 - phosphoprotein phosphatase activity"	23
"GO:0051082 - unfolded protein binding"	23
"GO:0001216 - DNA-binding transcription activator activity"	22
"GO:0016788 - hydrolase activity, acting on ester bonds"	22
"GO:0004521 - RNA endonuclease activity"	21
"GO:0008483 - transaminase activity"	21
"GO:0015288 - porin activity"	21
"GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	21
"GO:0003954 - NADH dehydrogenase activity"	20
"GO:0004180 - carboxypeptidase activity"	20
"GO:0005507 - copper ion binding"	20
"GO:0008137 - NADH dehydrogenase (ubiquinone) activity"	20
"GO:0048038 - quinone binding"	20
"GO:0071916 - dipeptide transmembrane transporter activity"	20
"GO:0016651 - oxidoreductase activity, acting on NAD(P)H"	19
"GO:0043546 - molybdopterin cofactor binding"	19
"GO:0004222 - metalloendopeptidase activity"	18
"GO:0008236 - serine-type peptidase activity"	18
"GO:0016151 - nickel cation binding"	18
"GO:0042910 - xenobiotic transmembrane transporter activity"	18
"GO:1904680 - peptide transmembrane transporter activity"	17
"GO:0004252 - serine-type endopeptidase activity"	16
"GO:0008047 - enzyme activator activity"	16
"GO:0008757 - S-adenosylmethionine-dependent methyltransferase activity"	16
"GO:0015562 - efflux transmembrane transporter activity"	16
"GO:0016810 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	16
"GO:0016836 - hydro-lyase activity"	16
"GO:0090563 - protein-phosphocysteine-sugar phosphotransferase activity"	16
"GO:0140359 - ABC-type transporter activity"	16
"GO:0016832 - aldehyde-lyase activity"	15
"GO:0030151 - molybdenum ion binding"	15
"GO:0042626 - ATPase-coupled transmembrane transporter activity"	15
"GO:0043024 - ribosomal small subunit binding"	15
"GO:0003678 - DNA helicase activity"	14
"GO:0003887 - DNA-directed DNA polymerase activity"	14
"GO:0004601 - peroxidase activity"	14
"GO:0005509 - calcium ion binding"	14
"GO:0016765 - transferase activity, transferring alkyl or aryl (other than methyl) groups"	14
"GO:0016773 - phosphotransferase activity, alcohol group as acceptor"	14
"GO:0043023 - ribosomal large subunit binding"	14
"GO:0044183 - protein folding chaperone"	14
"GO:0046983 - protein dimerization activity"	14
"GO:0097367 - carbohydrate derivative binding"	14
"GO:0004177 - aminopeptidase activity"	13
"GO:0008324 - monoatomic cation transmembrane transporter activity"	13
"GO:0016597 - amino acid binding"	13
"GO:0016857 - racemase and epimerase activity, acting on carbohydrates and derivatives"	13
"GO:0030955 - potassium ion binding"	13
"GO:0052621 - diguanylate cyclase activity"	13
"GO:0071111 - cyclic-guanylate-specific phosphodiesterase activity"	13
"GO:0008173 - RNA methyltransferase activity"	12
"GO:0008408 - 3'-5' exonuclease activity"	12
"GO:0015125 - bile acid transmembrane transporter activity"	12
"GO:0015171 - amino acid transmembrane transporter activity"	12
"GO:0019899 - enzyme binding"	12
"GO:0030976 - thiamine pyrophosphate binding"	12
"GO:0043531 - ADP binding"	12
"GO:0050136 - NADH dehydrogenase (quinone) activity"	12
"GO:0050897 - cobalt ion binding"	12
"GO:0070403 - NAD+ binding"	12
"GO:0001000 - bacterial-type RNA polymerase core enzyme binding"	11
"GO:0005198 - structural molecule activity"	11
"GO:0008658 - penicillin binding"	11
"GO:0009982 - pseudouridine synthase activity"	11
"GO:0015035 - protein-disulfide reductase activity"	11
"GO:0015036 - disulfide oxidoreductase activity"	11
"GO:0015205 - nucleobase transmembrane transporter activity"	11
"GO:0015473 - fimbrial usher porin activity"	11
"GO:0019904 - protein domain specific binding"	11
"GO:0051087 - protein-folding chaperone binding"	11
"GO:0051213 - dioxygenase activity"	11
"GO:0052689 - carboxylic ester hydrolase activity"	11
"GO:0061980 - regulatory RNA binding"	11
"GO:0070180 - large ribosomal subunit rRNA binding"	11
"GO:0003684 - damaged DNA binding"	10
"GO:0003755 - peptidyl-prolyl cis-trans isomerase activity"	10
"GO:0005351 - carbohydrate:proton symporter activity"	10
"GO:0008080 - N-acetyltransferase activity"	10
"GO:0009002 - serine-type D-Ala-D-Ala carboxypeptidase activity"	10
"GO:0015078 - proton transmembrane transporter activity"	10
"GO:0015295 - solute:proton symporter activity"	10
"GO:0016614 - oxidoreductase activity, acting on CH-OH group of donors"	10
"GO:0016627 - oxidoreductase activity, acting on the CH-CH group of donors"	10
"GO:0016763 - pentosyltransferase activity"	10
"GO:0016780 - phosphotransferase activity, for other substituted phosphate groups"	10
"GO:0016783 - sulfurtransferase activity"	10
"GO:0016818 - hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	10
"GO:0016830 - carbon-carbon lyase activity"	10
"GO:0046914 - transition metal ion binding"	10
"GO:0000175 - 3'-5'-RNA exonuclease activity"	9
"GO:0001046 - core promoter sequence-specific DNA binding"	9
"GO:0002161 - aminoacyl-tRNA editing activity"	9
"GO:0003690 - double-stranded DNA binding"	9
"GO:0003724 - RNA helicase activity"	9
"GO:0003746 - translation elongation factor activity"	9
"GO:0004176 - ATP-dependent peptidase activity"	9
"GO:0004672 - protein kinase activity"	9
"GO:0004857 - enzyme inhibitor activity"	9
"GO:0008094 - ATP-dependent activity, acting on DNA"	9
"GO:0015344 - siderophore uptake transmembrane transporter activity"	9
"GO:0016407 - acetyltransferase activity"	9
"GO:0016811 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"	9
"GO:0042834 - peptidoglycan binding"	9
"GO:0046933 - proton-transporting ATP synthase activity, rotational mechanism"	9
"GO:0046961 - proton-transporting ATPase activity, rotational mechanism"	9
"GO:0048029 - monosaccharide binding"	9
"GO:0050308 - sugar-phosphatase activity"	9
"GO:0060090 - molecular adaptor activity"	9
"GO:0097163 - sulfur carrier activity"	9
"GO:1990238 - double-stranded DNA endonuclease activity"	9
"GO:0001072 - transcription antitermination factor activity, RNA binding"	8
"GO:0003774 - cytoskeletal motor activity"	8
"GO:0003955 - NAD(P)H dehydrogenase (quinone) activity"	8
"GO:0008081 - phosphoric diester hydrolase activity"	8
"GO:0008289 - lipid binding"	8
"GO:0016682 - oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"	8
"GO:0016705 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	8
"GO:0016743 - carboxyl- or carbamoyltransferase activity"	8
"GO:0016776 - phosphotransferase activity, phosphate group as acceptor"	8
"GO:0016790 - thiolester hydrolase activity"	8
"GO:0016989 - sigma factor antagonist activity"	8
"GO:0033748 - hydrogenase (acceptor) activity"	8
"GO:0051538 - 3 iron, 4 sulfur cluster binding"	8
"GO:0070181 - small ribosomal subunit rRNA binding"	8
"GO:0003727 - single-stranded RNA binding"	7
"GO:0003916 - DNA topoisomerase activity"	7
"GO:0004030 - aldehyde dehydrogenase [NAD(P)+] activity"	7
"GO:0004190 - aspartic-type endopeptidase activity"	7
"GO:0004497 - monooxygenase activity"	7
"GO:0004520 - DNA endonuclease activity"	7
"GO:0004792 - thiosulfate sulfurtransferase activity"	7
"GO:0005315 - inorganic phosphate transmembrane transporter activity"	7
"GO:0005337 - nucleoside transmembrane transporter activity"	7
"GO:0008170 - N-methyltransferase activity"	7
"GO:0008235 - metalloexopeptidase activity"	7
"GO:0008296 - 3'-5'-DNA exonuclease activity"	7
"GO:0008320 - protein transmembrane transporter activity"	7
"GO:0008381 - mechanosensitive monoatomic ion channel activity"	7
"GO:0008410 - CoA-transferase activity"	7
"GO:0008649 - rRNA methyltransferase activity"	7
"GO:0008932 - lytic endotransglycosylase activity"	7
"GO:0008933 - lytic transglycosylase activity"	7
"GO:0008940 - nitrate reductase activity"	7
"GO:0008955 - peptidoglycan glycosyltransferase activity"	7
"GO:0015128 - gluconate transmembrane transporter activity"	7
"GO:0015291 - secondary active transmembrane transporter activity"	7
"GO:0015343 - siderophore-iron transmembrane transporter activity"	7
"GO:0015385 - sodium:proton antiporter activity"	7
"GO:0015489 - putrescine transmembrane transporter activity"	7
"GO:0016462 - pyrophosphatase activity"	7
"GO:0016758 - hexosyltransferase activity"	7
"GO:0016799 - hydrolase activity, hydrolyzing N-glycosyl compounds"	7
"GO:0016861 - intramolecular oxidoreductase activity, interconverting aldoses and ketoses"	7
"GO:0016879 - ligase activity, forming carbon-nitrogen bonds"	7
"GO:0016987 - sigma factor activity"	7
"GO:0017111 - ribonucleoside triphosphate phosphatase activity"	7
"GO:0022877 - protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity"	7
"GO:0030234 - enzyme regulator activity"	7
"GO:0035438 - cyclic-di-GMP binding"	7
"GO:0036397 - formate dehydrogenase (quinone) activity"	7
"GO:0038023 - signaling receptor activity"	7
"GO:0048039 - ubiquinone binding"	7
"GO:0120159 - rRNA pseudouridine synthase activity"	7
"GO:0140662 - ATP-dependent protein folding chaperone"	7
"GO:0000150 - DNA strand exchange activity"	6
"GO:0001530 - lipopolysaccharide binding"	6
"GO:0003743 - translation initiation factor activity"	6
"GO:0003984 - acetolactate synthase activity"	6
"GO:0004022 - alcohol dehydrogenase (NAD+) activity"	6
"GO:0004029 - aldehyde dehydrogenase (NAD+) activity"	6
"GO:0004359 - glutaminase activity"	6
"GO:0004364 - glutathione transferase activity"	6
"GO:0004540 - RNA nuclease activity"	6
"GO:0004659 - prenyltransferase activity"	6
"GO:0004748 - ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	6
"GO:0004888 - transmembrane signaling receptor activity"	6
"GO:0005543 - phospholipid binding"	6
"GO:0008106 - alcohol dehydrogenase (NADP+) activity"	6
"GO:0008199 - ferric iron binding"	6
"GO:0008234 - cysteine-type peptidase activity"	6
"GO:0008753 - NADPH dehydrogenase (quinone) activity"	6
"GO:0008863 - formate dehydrogenase (NAD+) activity"	6
"GO:0009389 - dimethyl sulfoxide reductase activity"	6
"GO:0009486 - cytochrome bo3 ubiquinol oxidase activity"	6
"GO:0009927 - histidine phosphotransfer kinase activity"	6
"GO:0015079 - potassium ion transmembrane transporter activity"	6
"GO:0015144 - carbohydrate transmembrane transporter activity"	6
"GO:0015190 - L-leucine transmembrane transporter activity"	6
"GO:0015232 - heme transmembrane transporter activity"	6
"GO:0015424 - ABC-type amino acid transporter activity"	6
"GO:0016208 - AMP binding"	6
"GO:0016209 - antioxidant activity"	6
"GO:0016530 - metallochaperone activity"	6
"GO:0016709 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	6
"GO:0016805 - dipeptidase activity"	6
"GO:0016866 - intramolecular transferase activity"	6
"GO:0016881 - acid-amino acid ligase activity"	6
"GO:0019003 - GDP binding"	6
"GO:0030527 - structural constituent of chromatin"	6
"GO:0042907 - xanthine transmembrane transporter activity"	6
"GO:0043138 - 3'-5' DNA helicase activity"	6
"GO:0046982 - protein heterodimerization activity"	6
"GO:0070006 - metalloaminopeptidase activity"	6
"GO:0070401 - NADP+ binding"	6
"GO:0071972 - peptidoglycan L,D-transpeptidase activity"	6
"GO:0080146 - L-cysteine desulfhydrase activity"	6
"GO:0106029 - tRNA pseudouridine synthase activity"	6
"GO:0140098 - catalytic activity, acting on RNA"	6
"GO:0000104 - succinate dehydrogenase activity"	5
"GO:0000900 - mRNA regulatory element binding translation repressor activity"	5
"GO:0003681 - bent DNA binding"	5
"GO:0003756 - protein disulfide isomerase activity"	5
"GO:0003899 - DNA-directed 5'-3' RNA polymerase activity"	5
"GO:0003941 - L-serine ammonia-lyase activity"	5
"GO:0003994 - aconitate hydratase activity"	5
"GO:0004300 - enoyl-CoA hydratase activity"	5
"GO:0004322 - ferroxidase activity"	5
"GO:0004333 - fumarate hydratase activity"	5
"GO:0004674 - protein serine/threonine kinase activity"	5
"GO:0004713 - protein tyrosine kinase activity"	5
"GO:0004731 - purine-nucleoside phosphorylase activity"	5
"GO:0005304 - L-valine transmembrane transporter activity"	5
"GO:0005385 - zinc ion transmembrane transporter activity"	5
"GO:0008177 - succinate dehydrogenase (quinone) activity"	5
"GO:0008252 - nucleotidase activity"	5
"GO:0008253 - 5'-nucleotidase activity"	5
"GO:0008745 - N-acetylmuramoyl-L-alanine amidase activity"	5
"GO:0008776 - acetate kinase activity"	5
"GO:0009007 - site-specific DNA-methyltransferase (adenine-specific) activity"	5
"GO:0015188 - L-isoleucine transmembrane transporter activity"	5
"GO:0015212 - cytidine transmembrane transporter activity"	5
"GO:0015213 - uridine transmembrane transporter activity"	5
"GO:0015386 - potassium:proton antiporter activity"	5
"GO:0015419 - ABC-type sulfate transporter activity"	5
"GO:0015620 - ferric-enterobactin transmembrane transporter activity"	5
"GO:0015643 - toxic substance binding"	5
"GO:0015658 - branched-chain amino acid transmembrane transporter activity"	5
"GO:0015662 - P-type ion transporter activity"	5
"GO:0016289 - acyl-CoA hydrolase activity"	5
"GO:0016774 - phosphotransferase activity, carboxyl group as acceptor"	5
"GO:0016903 - oxidoreductase activity, acting on the aldehyde or oxo group of donors"	5
"GO:0018455 - alcohol dehydrogenase [NAD(P)+] activity"	5
"GO:0019104 - DNA N-glycosylase activity"	5
"GO:0019239 - deaminase activity"	5
"GO:0030295 - protein kinase activator activity"	5
"GO:0031072 - heat shock protein binding"	5
"GO:0031419 - cobalamin binding"	5
"GO:0036094 - small molecule binding"	5
"GO:0043167 - ion binding"	5
"GO:0044877 - protein-containing complex binding"	5
"GO:0046873 - metal ion transmembrane transporter activity"	5
"GO:0047429 - nucleoside triphosphate diphosphatase activity"	5
"GO:0047617 - fatty acyl-CoA hydrolase activity"	5
"GO:0061733 - peptide-lysine-N-acetyltransferase activity"	5
"GO:0097351 - toxin sequestering activity"	5
"GO:0106411 - XMP 5'-nucleosidase activity"	5
"GO:0000014 - single-stranded DNA endodeoxyribonuclease activity"	4
"GO:0000400 - four-way junction DNA binding"	4
"GO:0003725 - double-stranded RNA binding"	4
"GO:0003747 - translation release factor activity"	4
"GO:0003796 - lysozyme activity"	4
"GO:0003857 - 3-hydroxyacyl-CoA dehydrogenase activity"	4
"GO:0003906 - DNA-(apurinic or apyrimidinic site) endonuclease activity"	4
"GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"	4
"GO:0003985 - acetyl-CoA C-acetyltransferase activity"	4
"GO:0003988 - acetyl-CoA C-acyltransferase activity"	4
"GO:0003989 - acetyl-CoA carboxylase activity"	4
"GO:0003995 - acyl-CoA dehydrogenase activity"	4
"GO:0004368 - glycerol-3-phosphate dehydrogenase (quinone) activity"	4
"GO:0004459 - L-lactate dehydrogenase activity"	4
"GO:0004555 - alpha,alpha-trehalase activity"	4
"GO:0004556 - alpha-amylase activity"	4
"GO:0004622 - lysophospholipase activity"	4
"GO:0004722 - protein serine/threonine phosphatase activity"	4
"GO:0004775 - succinate-CoA ligase (ADP-forming) activity"	4
"GO:0004776 - succinate-CoA ligase (GDP-forming) activity"	4
"GO:0004777 - succinate-semialdehyde dehydrogenase (NAD+) activity"	4
"GO:0005048 - signal sequence binding"	4
"GO:0008134 - transcription factor binding"	4
"GO:0008276 - protein methyltransferase activity"	4
"GO:0008310 - single-stranded DNA 3'-5' DNA exonuclease activity"	4
"GO:0008374 - O-acyltransferase activity"	4
"GO:0008379 - thioredoxin peroxidase activity"	4
"GO:0008422 - beta-glucosidase activity"	4
"GO:0008477 - purine nucleosidase activity"	4
"GO:0008556 - P-type potassium transmembrane transporter activity"	4
"GO:0008559 - ABC-type xenobiotic transporter activity"	4
"GO:0008695 - 3-phenylpropionate dioxygenase activity"	4
"GO:0008706 - 6-phospho-beta-glucosidase activity"	4
"GO:0008713 - ADP-heptose-lipopolysaccharide heptosyltransferase activity"	4
"GO:0008720 - D-lactate dehydrogenase activity"	4
"GO:0008775 - acetate CoA-transferase activity"	4
"GO:0008792 - arginine decarboxylase activity"	4
"GO:0008897 - holo-[acyl-carrier-protein] synthase activity"	4
"GO:0008901 - ferredoxin hydrogenase activity"	4
"GO:0008948 - oxaloacetate decarboxylase activity"	4
"GO:0008965 - phosphoenolpyruvate-protein phosphotransferase activity"	4
"GO:0008990 - rRNA (guanine-N2-)-methyltransferase activity"	4
"GO:0009384 - N-acylmannosamine kinase activity"	4
"GO:0015093 - ferrous iron transmembrane transporter activity"	4
"GO:0015099 - nickel cation transmembrane transporter activity"	4
"GO:0015169 - glycerol-3-phosphate transmembrane transporter activity"	4
"GO:0015173 - aromatic amino acid transmembrane transporter activity"	4
"GO:0015184 - L-cystine transmembrane transporter activity"	4
"GO:0015192 - L-phenylalanine transmembrane transporter activity"	4
"GO:0015194 - L-serine transmembrane transporter activity"	4
"GO:0015220 - choline transmembrane transporter activity"	4
"GO:0015276 - ligand-gated monoatomic ion channel activity"	4
"GO:0015333 - peptide:proton symporter activity"	4
"GO:0015413 - ABC-type nickel transporter activity"	4
"GO:0015417 - ABC-type polyamine transporter activity"	4
"GO:0015421 - ABC-type oligopeptide transporter activity"	4
"GO:0015453 - oxidoreduction-driven active transmembrane transporter activity"	4
"GO:0015499 - formate transmembrane transporter activity"	4
"GO:0015556 - C4-dicarboxylate transmembrane transporter activity"	4
"GO:0015565 - threonine efflux transmembrane transporter activity"	4
"GO:0015616 - DNA translocase activity"	4
"GO:0015640 - peptidoglycan peptide transmembrane transporter activity"	4
"GO:0016413 - O-acetyltransferase activity"	4
"GO:0016655 - oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	4
"GO:0016668 - oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor"	4
"GO:0016679 - oxidoreductase activity, acting on diphenols and related substances as donors"	4
"GO:0016744 - transketolase or transaldolase activity"	4
"GO:0016855 - racemase and epimerase activity, acting on amino acids and derivatives"	4
"GO:0016868 - intramolecular phosphotransferase activity"	4
"GO:0016891 - RNA endonuclease activity, producing 5'-phosphomonoesters"	4
"GO:0016892 - RNA endonuclease activity, producing 3'-phosphomonoesters"	4
"GO:0016896 - RNA exonuclease activity, producing 5'-phosphomonoesters"	4
"GO:0017116 - single-stranded DNA helicase activity"	4
"GO:0019213 - deacetylase activity"	4
"GO:0032843 - hydroperoxide reductase activity"	4
"GO:0034040 - ATPase-coupled lipid transmembrane transporter activity"	4
"GO:0034062 - 5'-3' RNA polymerase activity"	4
"GO:0042931 - enterobactin transmembrane transporter activity"	4
"GO:0042937 - tripeptide transmembrane transporter activity"	4
"GO:0043365 - [formate-C-acetyltransferase]-activating enzyme activity"	4
"GO:0043856 - anti-sigma factor antagonist activity"	4
"GO:0047545 - 2-hydroxyglutarate dehydrogenase activity"	4
"GO:0050380 - undecaprenyl-diphosphatase activity"	4
"GO:0051920 - peroxiredoxin activity"	4
"GO:0060698 - endoribonuclease inhibitor activity"	4
"GO:0061513 - glucose 6-phosphate:inorganic phosphate antiporter activity"	4
"GO:0061693 - alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity"	4
"GO:0070063 - RNA polymerase binding"	4
"GO:0070402 - NADPH binding"	4
"GO:0070404 - NADH binding"	4
"GO:0070733 - AMPylase activity"	4
"GO:0090582 - protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity"	4
"GO:0097718 - disordered domain specific binding"	4
"GO:0103047 - methyl beta-D-glucoside 6-phosphate glucohydrolase activity"	4
"GO:0106435 - carboxylesterase activity"	4
"GO:0120014 - phospholipid transfer activity"	4
"GO:0140297 - DNA-binding transcription factor binding"	4
"GO:0140664 - ATP-dependent DNA damage sensor activity"	4
"GO:1901612 - cardiolipin binding"	4
"GO:1904047 - S-adenosyl-L-methionine binding"	4
"GO:0000703 - oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity"	3
"GO:0001108 - bacterial-type RNA polymerase holo enzyme binding"	3
"GO:0002058 - uracil binding"	3
"GO:0003680 - minor groove of adenine-thymine-rich DNA binding"	3
"GO:0003688 - DNA replication origin binding"	3
"GO:0003730 - mRNA 3'-UTR binding"	3
"GO:0003849 - 3-deoxy-7-phosphoheptulonate synthase activity"	3
"GO:0003850 - 2-deoxyglucose-6-phosphatase activity"	3
"GO:0003917 - DNA topoisomerase type I (single strand cut, ATP-independent) activity"	3
"GO:0003992 - N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity"	3
"GO:0004021 - L-alanine:2-oxoglutarate aminotransferase activity"	3
"GO:0004033 - aldo-keto reductase (NADP) activity"	3
"GO:0004034 - aldose 1-epimerase activity"	3
"GO:0004040 - amidase activity"	3
"GO:0004049 - anthranilate synthase activity"	3
"GO:0004065 - arylsulfatase activity"	3
"GO:0004067 - asparaginase activity"	3
"GO:0004072 - aspartate kinase activity"	3
"GO:0004088 - carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity"	3
"GO:0004096 - catalase activity"	3
"GO:0004109 - coproporphyrinogen oxidase activity"	3
"GO:0004124 - cysteine synthase activity"	3
"GO:0004129 - cytochrome-c oxidase activity"	3
"GO:0004141 - dethiobiotin synthase activity"	3
"GO:0004315 - 3-oxoacyl-[acyl-carrier-protein] synthase activity"	3
"GO:0004325 - ferrochelatase activity"	3
"GO:0004332 - fructose-bisphosphate aldolase activity"	3
"GO:0004342 - glucosamine-6-phosphate deaminase activity"	3
"GO:0004354 - glutamate dehydrogenase (NADP+) activity"	3
"GO:0004370 - glycerol kinase activity"	3
"GO:0004416 - hydroxyacylglutathione hydrolase activity"	3
"GO:0004458 - D-lactate dehydrogenase (cytochrome) activity"	3
"GO:0004529 - DNA exonuclease activity"	3
"GO:0004585 - ornithine carbamoyltransferase activity"	3
"GO:0004590 - orotidine-5'-phosphate decarboxylase activity"	3
"GO:0004619 - phosphoglycerate mutase activity"	3
"GO:0004645 - 1,4-alpha-oligoglucan phosphorylase activity"	3
"GO:0004750 - D-ribulose-phosphate 3-epimerase activity"	3
"GO:0004764 - shikimate 3-dehydrogenase (NADP+) activity"	3
"GO:0004765 - shikimate kinase activity"	3
"GO:0004784 - superoxide dismutase activity"	3
"GO:0004798 - thymidylate kinase activity"	3
"GO:0004824 - lysine-tRNA ligase activity"	3
"GO:0004844 - uracil DNA N-glycosylase activity"	3
"GO:0005216 - monoatomic ion channel activity"	3
"GO:0005247 - voltage-gated chloride channel activity"	3
"GO:0005267 - potassium channel activity"	3
"GO:0005289 - high-affinity L-arginine transmembrane transporter activity"	3
"GO:0005291 - high-affinity L-histidine transmembrane transporter activity"	3
"GO:0005292 - high-affinity lysine transmembrane transporter activity"	3
"GO:0005355 - glucose transmembrane transporter activity"	3
"GO:0005375 - copper ion transmembrane transporter activity"	3
"GO:0005469 - succinate:fumarate antiporter activity"	3
"GO:0008097 - 5S rRNA binding"	3
"GO:0008138 - protein tyrosine/serine/threonine phosphatase activity"	3
"GO:0008428 - ribonuclease inhibitor activity"	3
"GO:0008470 - isovaleryl-CoA dehydrogenase activity"	3
"GO:0008641 - ubiquitin-like modifier activating enzyme activity"	3
"GO:0008681 - 2-octaprenyl-6-methoxyphenol hydroxylase activity"	3
"GO:0008682 - 3-demethoxyubiquinol 3-hydroxylase activity"	3
"GO:0008742 - L-ribulose-phosphate 4-epimerase activity"	3
"GO:0008746 - NAD(P)+ transhydrogenase activity"	3
"GO:0008761 - UDP-N-acetylglucosamine 2-epimerase activity"	3
"GO:0008774 - acetaldehyde dehydrogenase (acetylating) activity"	3
"GO:0008784 - alanine racemase activity"	3
"GO:0008800 - beta-lactamase activity"	3
"GO:0008801 - beta-phosphoglucomutase activity"	3
"GO:0008802 - betaine-aldehyde dehydrogenase activity"	3
"GO:0008803 - bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity"	3
"GO:0008804 - carbamate kinase activity"	3
"GO:0008821 - crossover junction DNA endonuclease activity"	3
"GO:0008854 - exodeoxyribonuclease V activity"	3
"GO:0008861 - formate C-acetyltransferase activity"	3
"GO:0008887 - glycerate kinase activity"	3
"GO:0008962 - phosphatidylglycerophosphatase activity"	3
"GO:0008967 - phosphoglycolate phosphatase activity"	3
"GO:0008999 - peptide-alanine-alpha-N-acetyltransferase activity"	3
"GO:0009000 - selenocysteine lyase activity"	3
"GO:0009009 - site-specific recombinase activity"	3
"GO:0009025 - tagatose-bisphosphate aldolase activity"	3
"GO:0009378 - four-way junction helicase activity"	3
"GO:0009381 - excinuclease ABC activity"	3
"GO:0009383 - rRNA (cytosine-C5-)-methyltransferase activity"	3
