"Class Biological Process"	"Total of Genes"
"GO:0008643 - carbohydrate transport"	24
"GO:0009245 - lipid A biosynthetic process"	24
"GO:0071978 - bacterial-type flagellum-dependent swarming motility"	24
"GO:1990961 - xenobiotic detoxification by transmembrane export across the plasma membrane"	24
"GO:0010468 - regulation of gene expression"	23
"GO:0016226 - iron-sulfur cluster assembly"	23
"GO:0036460 - cellular response to cell envelope stress"	23
"GO:0044780 - bacterial-type flagellum assembly"	23
"GO:0040008 - regulation of growth"	22
"GO:0006261 - DNA-templated DNA replication"	21
"GO:0006813 - potassium ion transport"	21
"GO:0009073 - aromatic amino acid family biosynthetic process"	21
"GO:0031564 - transcription antitermination"	21
"GO:0071705 - nitrogen compound transport"	21
"GO:0000028 - ribosomal small subunit assembly"	20
"GO:0000917 - division septum assembly"	20
"GO:0006633 - fatty acid biosynthetic process"	20
"GO:0006744 - ubiquinone biosynthetic process"	20
"GO:0009242 - colanic acid biosynthetic process"	20
"GO:0015944 - formate oxidation"	20
"GO:0040033 - sRNA-mediated post-transcriptional gene silencing"	20
"GO:2000142 - regulation of DNA-templated transcription initiation"	20
"GO:0006259 - DNA metabolic process"	19
"GO:0006970 - response to osmotic stress"	19
"GO:0008654 - phospholipid biosynthetic process"	19
"GO:0009082 - branched-chain amino acid biosynthetic process"	19
"GO:0015949 - nucleobase-containing small molecule interconversion"	19
"GO:0019752 - carboxylic acid metabolic process"	19
"GO:0035442 - dipeptide transmembrane transport"	19
"GO:0070475 - rRNA base methylation"	19
"GO:0006164 - purine nucleotide biosynthetic process"	18
"GO:0006400 - tRNA modification"	18
"GO:0006418 - tRNA aminoacylation for protein translation"	18
"GO:0006635 - fatty acid beta-oxidation"	18
"GO:0044781 - bacterial-type flagellum organization"	18
"GO:0051604 - protein maturation"	18
"GO:0098869 - cellular oxidant detoxification"	18
"GO:0000725 - recombinational repair"	17
"GO:0006096 - glycolytic process"	17
"GO:0006814 - sodium ion transport"	17
"GO:0009254 - peptidoglycan turnover"	17
"GO:0009411 - response to UV"	17
"GO:0030488 - tRNA methylation"	17
"GO:0033214 - siderophore-dependent iron import into cell"	17
"GO:0034219 - carbohydrate transmembrane transport"	17
"GO:0034605 - cellular response to heat"	17
"GO:0035194 - regulatory ncRNA-mediated post-transcriptional gene silencing"	17
"GO:0043165 - Gram-negative-bacterium-type cell outer membrane assembly"	17
"GO:0045454 - cell redox homeostasis"	17
"GO:0046336 - ethanolamine catabolic process"	17
"GO:0071805 - potassium ion transmembrane transport"	17
"GO:0006007 - glucose catabolic process"	16
"GO:0006071 - glycerol metabolic process"	16
"GO:0006402 - mRNA catabolic process"	16
"GO:0006541 - glutamine metabolic process"	16
"GO:0006779 - porphyrin-containing compound biosynthetic process"	16
"GO:0009409 - response to cold"	16
"GO:0009451 - RNA modification"	16
"GO:0010165 - response to X-ray"	16
"GO:0015628 - protein secretion by the type II secretion system"	16
"GO:0017148 - negative regulation of translation"	16
"GO:0019439 - aromatic compound catabolic process"	16
"GO:0032508 - DNA duplex unwinding"	16
"GO:0034599 - cellular response to oxidative stress"	16
"GO:0042908 - xenobiotic transport"	16
"GO:2000143 - negative regulation of DNA-templated transcription initiation"	16
"GO:0006094 - gluconeogenesis"	15
"GO:0006139 - nucleobase-containing compound metabolic process"	15
"GO:0007059 - chromosome segregation"	15
"GO:0009086 - methionine biosynthetic process"	15
"GO:0009097 - isoleucine biosynthetic process"	15
"GO:0009253 - peptidoglycan catabolic process"	15
"GO:0009306 - protein secretion"	15
"GO:0010124 - phenylacetate catabolic process"	15
"GO:0010447 - response to acidic pH"	15
"GO:0015721 - bile acid and bile salt transport"	15
"GO:0015847 - putrescine transport"	15
"GO:0031167 - rRNA methylation"	15
"GO:0042938 - dipeptide transport"	15
"GO:0046718 - symbiont entry into host cell"	15
"GO:0051716 - cellular response to stimulus"	15
"GO:0065003 - protein-containing complex assembly"	15
"GO:0071468 - cellular response to acidic pH"	15
"GO:0090529 - cell septum assembly"	15
"GO:1901135 - carbohydrate derivative metabolic process"	15
"GO:1902021 - regulation of bacterial-type flagellum-dependent cell motility"	15
"GO:0006352 - DNA-templated transcription initiation"	14
"GO:0006526 - arginine biosynthetic process"	14
"GO:0006777 - Mo-molybdopterin cofactor biosynthetic process"	14
"GO:0009228 - thiamine biosynthetic process"	14
"GO:0009246 - enterobacterial common antigen biosynthetic process"	14
"GO:0009297 - pilus assembly"	14
"GO:0019646 - aerobic electron transport chain"	14
"GO:0042542 - response to hydrogen peroxide"	14
"GO:0045226 - extracellular polysaccharide biosynthetic process"	14
"GO:1900191 - negative regulation of single-species biofilm formation"	14
"GO:2000144 - positive regulation of DNA-templated transcription initiation"	14
"GO:0006298 - mismatch repair"	13
"GO:0006790 - sulfur compound metabolic process"	13
"GO:0006812 - monoatomic cation transport"	13
"GO:0009099 - valine biosynthetic process"	13
"GO:0009117 - nucleotide metabolic process"	13
"GO:0017004 - cytochrome complex assembly"	13
"GO:0022900 - electron transport chain"	13
"GO:0034214 - protein hexamerization"	13
"GO:0036211 - protein modification process"	13
"GO:0042026 - protein refolding"	13
"GO:0043711 - pilus organization"	13
"GO:0044281 - small molecule metabolic process"	13
"GO:0045333 - cellular respiration"	13
"GO:0046688 - response to copper ion"	13
"GO:0051607 - defense response to virus"	13
"GO:0140330 - xenobiotic detoxification by transmembrane export across the cell outer membrane"	13
"GO:0001522 - pseudouridine synthesis"	12
"GO:0002098 - tRNA wobble uridine modification"	12
"GO:0006006 - glucose metabolic process"	12
"GO:0006144 - purine nucleobase metabolic process"	12
"GO:0006189 - 'de novo' IMP biosynthetic process"	12
"GO:0006401 - RNA catabolic process"	12
"GO:0006730 - one-carbon metabolic process"	12
"GO:0009089 - lysine biosynthetic process via diaminopimelate"	12
"GO:0009437 - carnitine metabolic process"	12
"GO:0010212 - response to ionizing radiation"	12
"GO:0030091 - protein repair"	12
"GO:0097588 - archaeal or bacterial-type flagellum-dependent cell motility"	12
"GO:1901576 - organic substance biosynthetic process"	12
"GO:0000271 - polysaccharide biosynthetic process"	11
"GO:0006212 - uracil catabolic process"	11
"GO:0006221 - pyrimidine nucleotide biosynthetic process"	11
"GO:0006268 - DNA unwinding involved in DNA replication"	11
"GO:0006302 - double-strand break repair"	11
"GO:0006308 - DNA catabolic process"	11
"GO:0006525 - arginine metabolic process"	11
"GO:0008299 - isoprenoid biosynthetic process"	11
"GO:0009229 - thiamine diphosphate biosynthetic process"	11
"GO:0009267 - cellular response to starvation"	11
"GO:0009372 - quorum sensing"	11
"GO:0009423 - chorismate biosynthetic process"	11
"GO:0012501 - programmed cell death"	11
"GO:0015976 - carbon utilization"	11
"GO:0016042 - lipid catabolic process"	11
"GO:0019262 - N-acetylneuraminate catabolic process"	11
"GO:0019380 - 3-phenylpropionate catabolic process"	11
"GO:0031460 - glycine betaine transport"	11
"GO:0032784 - regulation of DNA-templated transcription elongation"	11
"GO:0033212 - iron import into cell"	11
"GO:0035435 - phosphate ion transmembrane transport"	11
"GO:0035725 - sodium ion transmembrane transport"	11
"GO:0070301 - cellular response to hydrogen peroxide"	11
"GO:0071897 - DNA biosynthetic process"	11
"GO:0098655 - monoatomic cation transmembrane transport"	11
"GO:1990539 - fructose import across plasma membrane"	11
"GO:0000105 - histidine biosynthetic process"	10
"GO:0000162 - tryptophan biosynthetic process"	10
"GO:0005996 - monosaccharide metabolic process"	10
"GO:0006098 - pentose-phosphate shunt"	10
"GO:0006207 - 'de novo' pyrimidine nucleobase biosynthetic process"	10
"GO:0006817 - phosphate ion transport"	10
"GO:0009102 - biotin biosynthetic process"	10
"GO:0009447 - putrescine catabolic process"	10
"GO:0015716 - organic phosphonate transport"	10
"GO:0015886 - heme transport"	10
"GO:0016311 - dephosphorylation"	10
"GO:0019521 - D-gluconate metabolic process"	10
"GO:0031297 - replication fork processing"	10
"GO:0044826 - viral genome integration into host DNA"	10
"GO:0045228 - slime layer polysaccharide biosynthetic process"	10
"GO:0045947 - negative regulation of translational initiation"	10
"GO:0046654 - tetrahydrofolate biosynthetic process"	10
"GO:0046656 - folic acid biosynthetic process"	10
"GO:0065002 - intracellular protein transmembrane transport"	10
"GO:0075713 - establishment of integrated proviral latency"	10
"GO:1900190 - regulation of single-species biofilm formation"	10
"GO:0006113 - fermentation"	9
"GO:0006208 - pyrimidine nucleobase catabolic process"	9
"GO:0006270 - DNA replication initiation"	9
"GO:0006284 - base-excision repair"	9
"GO:0006415 - translational termination"	9
"GO:0006527 - arginine catabolic process"	9
"GO:0006754 - ATP biosynthetic process"	9
"GO:0006782 - protoporphyrinogen IX biosynthetic process"	9
"GO:0009085 - lysine biosynthetic process"	9
"GO:0009231 - riboflavin biosynthetic process"	9
"GO:0009234 - menaquinone biosynthetic process"	9
"GO:0009307 - DNA restriction-modification system"	9
"GO:0009435 - NAD biosynthetic process"	9
"GO:0010438 - cellular response to sulfur starvation"	9
"GO:0015752 - D-ribose transmembrane transport"	9
"GO:0015891 - siderophore transport"	9
"GO:0015920 - lipopolysaccharide transport"	9
"GO:0015986 - proton motive force-driven ATP synthesis"	9
"GO:0015990 - electron transport coupled proton transport"	9
"GO:0016036 - cellular response to phosphate starvation"	9
"GO:0019563 - glycerol catabolic process"	9
"GO:0019698 - D-galacturonate catabolic process"	9
"GO:0022611 - dormancy process"	9
"GO:0030254 - protein secretion by the type III secretion system"	9
"GO:0031640 - killing of cells of another organism"	9
"GO:0034470 - ncRNA processing"	9
"GO:0042773 - ATP synthesis coupled electron transport"	9
"GO:0043213 - bacteriocin transport"	9
"GO:0043952 - protein transport by the Sec complex"	9
"GO:0046942 - carboxylic acid transport"	9
"GO:0048870 - cell motility"	9
"GO:0051085 - chaperone cofactor-dependent protein refolding"	9
"GO:0070207 - protein homotrimerization"	9
"GO:0098656 - monoatomic anion transmembrane transport"	9
"GO:0106074 - aminoacyl-tRNA metabolism involved in translational fidelity"	9
"GO:1990451 - cellular stress response to acidic pH"	9
"GO:0000455 - enzyme-directed rRNA pseudouridine synthesis"	8
"GO:0000910 - cytokinesis"	8
"GO:0006090 - pyruvate metabolic process"	8
"GO:0006097 - glyoxylate cycle"	8
"GO:0006166 - purine ribonucleoside salvage"	8
"GO:0006269 - DNA replication, synthesis of RNA primer"	8
"GO:0006515 - protein quality control for misfolded or incompletely synthesized proteins"	8
"GO:0006605 - protein targeting"	8
"GO:0006783 - heme biosynthetic process"	8
"GO:0006829 - zinc ion transport"	8
"GO:0006972 - hyperosmotic response"	8
"GO:0008272 - sulfate transport"	8
"GO:0008616 - queuosine biosynthetic process"	8
"GO:0009052 - pentose-phosphate shunt, non-oxidative branch"	8
"GO:0009063 - amino acid catabolic process"	8
"GO:0009098 - leucine biosynthetic process"	8
"GO:0009236 - cobalamin biosynthetic process"	8
"GO:0009239 - enterobactin biosynthetic process"	8
"GO:0015889 - cobalamin transport"	8
"GO:0019344 - cysteine biosynthetic process"	8
"GO:0019363 - pyridine nucleotide biosynthetic process"	8
"GO:0019700 - organic phosphonate catabolic process"	8
"GO:0019740 - nitrogen utilization"	8
"GO:0030001 - metal ion transport"	8
"GO:0030244 - cellulose biosynthetic process"	8
"GO:0032978 - protein insertion into membrane from inner side"	8
"GO:0035351 - heme transmembrane transport"	8
"GO:0035429 - gluconate transmembrane transport"	8
"GO:0035672 - oligopeptide transmembrane transport"	8
"GO:0042274 - ribosomal small subunit biogenesis"	8
"GO:0042450 - arginine biosynthetic process via ornithine"	8
"GO:0042594 - response to starvation"	8
"GO:0042777 - proton motive force-driven plasma membrane ATP synthesis"	8
"GO:0043335 - protein unfolding"	8
"GO:0044011 - single-species biofilm formation on inanimate substrate"	8
"GO:0044249 - cellular biosynthetic process"	8
"GO:0050821 - protein stabilization"	8
"GO:0051090 - regulation of DNA-binding transcription factor activity"	8
"GO:0051276 - chromosome organization"	8
"GO:0051302 - regulation of cell division"	8
"GO:0051603 - proteolysis involved in protein catabolic process"	8
"GO:0071470 - cellular response to osmotic stress"	8
"GO:0097638 - L-arginine import across plasma membrane"	8
"GO:1901566 - organonitrogen compound biosynthetic process"	8
"GO:1903785 - L-valine transmembrane transport"	8
"GO:0000103 - sulfate assimilation"	7
"GO:0002143 - tRNA wobble position uridine thiolation"	7
"GO:0006004 - fucose metabolic process"	7
"GO:0006265 - DNA topological change"	7
"GO:0006289 - nucleotide-excision repair"	7
"GO:0006413 - translational initiation"	7
"GO:0006414 - translational elongation"	7
"GO:0008610 - lipid biosynthetic process"	7
"GO:0008615 - pyridoxine biosynthetic process"	7
"GO:0009243 - O antigen biosynthetic process"	7
"GO:0015757 - galactose transmembrane transport"	7
"GO:0015768 - maltose transport"	7
"GO:0015795 - sorbitol transmembrane transport"	7
"GO:0015803 - branched-chain amino acid transport"	7
"GO:0015823 - phenylalanine transport"	7
"GO:0016052 - carbohydrate catabolic process"	7
"GO:0016114 - terpenoid biosynthetic process"	7
"GO:0016485 - protein processing"	7
"GO:0016998 - cell wall macromolecule catabolic process"	7
"GO:0019288 - isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"	7
"GO:0019301 - rhamnose catabolic process"	7
"GO:0019323 - pentose catabolic process"	7
"GO:0019634 - organic phosphonate metabolic process"	7
"GO:0030163 - protein catabolic process"	7
"GO:0030308 - negative regulation of cell growth"	7
"GO:0030490 - maturation of SSU-rRNA"	7
"GO:0032297 - negative regulation of DNA-templated DNA replication initiation"	7
"GO:0033499 - galactose catabolic process via UDP-galactose"	7
"GO:0033539 - fatty acid beta-oxidation using acyl-CoA dehydrogenase"	7
"GO:0042255 - ribosome assembly"	7
"GO:0042840 - D-glucuronate catabolic process"	7
"GO:0042884 - microcin transport"	7
"GO:0043039 - tRNA aminoacylation"	7
"GO:0044205 - 'de novo' UMP biosynthetic process"	7
"GO:0044659 - viral release from host cell by cytolysis"	7
"GO:0044718 - siderophore transmembrane transport"	7
"GO:0046177 - D-gluconate catabolic process"	7
"GO:0046940 - nucleoside monophosphate phosphorylation"	7
"GO:0051205 - protein insertion into membrane"	7
"GO:0051782 - negative regulation of cell division"	7
"GO:0070689 - L-threonine catabolic process to propionate"	7
"GO:0071474 - cellular hyperosmotic response"	7
"GO:0089718 - amino acid import across plasma membrane"	7
"GO:0099048 - CRISPR-cas system"	7
"GO:0120010 - intermembrane phospholipid transfer"	7
"GO:1901575 - organic substance catabolic process"	7
"GO:1901642 - nucleoside transmembrane transport"	7
"GO:1902358 - sulfate transmembrane transport"	7
"GO:1990145 - maintenance of translational fidelity"	7
"GO:0000920 - septum digestion after cytokinesis"	6
"GO:0006012 - galactose metabolic process"	6
"GO:0006044 - N-acetylglucosamine metabolic process"	6
"GO:0006072 - glycerol-3-phosphate metabolic process"	6
"GO:0006108 - malate metabolic process"	6
"GO:0006152 - purine nucleoside catabolic process"	6
"GO:0006276 - plasmid maintenance"	6
"GO:0006353 - DNA-templated transcription termination"	6
"GO:0006470 - protein dephosphorylation"	6
"GO:0006567 - threonine catabolic process"	6
"GO:0006725 - cellular aromatic compound metabolic process"	6
"GO:0006749 - glutathione metabolic process"	6
"GO:0006788 - heme oxidation"	6
"GO:0006825 - copper ion transport"	6
"GO:0006857 - oligopeptide transport"	6
"GO:0006886 - intracellular protein transport"	6
"GO:0008295 - spermidine biosynthetic process"	6
"GO:0009088 - threonine biosynthetic process"	6
"GO:0009116 - nucleoside metabolic process"	6
"GO:0009263 - deoxyribonucleotide biosynthetic process"	6
"GO:0009265 - 2'-deoxyribonucleotide biosynthetic process"	6
"GO:0009266 - response to temperature stimulus"	6
"GO:0009268 - response to pH"	6
"GO:0009450 - gamma-aminobutyric acid catabolic process"	6
"GO:0010041 - response to iron(III) ion"	6
"GO:0010043 - response to zinc ion"	6
"GO:0010273 - detoxification of copper ion"	6
"GO:0015675 - nickel cation transport"	6
"GO:0015685 - ferric-enterobactin import into cell"	6
"GO:0015709 - thiosulfate transport"	6
"GO:0015774 - polysaccharide transport"	6
"GO:0015826 - threonine transport"	6
"GO:0015914 - phospholipid transport"	6
"GO:0015940 - pantothenate biosynthetic process"	6
"GO:0018393 - internal peptidyl-lysine acetylation"	6
"GO:0019299 - rhamnose metabolic process"	6
"GO:0019402 - galactitol metabolic process"	6
"GO:0030261 - chromosome condensation"	6
"GO:0031119 - tRNA pseudouridine synthesis"	6
"GO:0031555 - transcriptional attenuation"	6
"GO:0033554 - cellular response to stress"	6
"GO:0035999 - tetrahydrofolate interconversion"	6
"GO:0036386 - bacterial nucleoid packaging"	6
"GO:0042126 - nitrate metabolic process"	6
"GO:0042221 - response to chemical"	6
"GO:0042355 - L-fucose catabolic process"	6
"GO:0043171 - peptide catabolic process"	6
"GO:0043708 - cell adhesion involved in biofilm formation"	6
"GO:0044271 - cellular nitrogen compound biosynthetic process"	6
"GO:0046296 - glycolate catabolic process"	6
"GO:0050779 - RNA destabilization"	6
"GO:0051453 - regulation of intracellular pH"	6
"GO:0051454 - intracellular pH elevation"	6
"GO:0051595 - response to methylglyoxal"	6
"GO:0070814 - hydrogen sulfide biosynthetic process"	6
"GO:0071236 - cellular response to antibiotic"	6
"GO:0071422 - succinate transmembrane transport"	6
"GO:0071577 - zinc ion transmembrane transport"	6
"GO:0072344 - rescue of stalled ribosome"	6
"GO:0090605 - submerged biofilm formation"	6
"GO:1900192 - positive regulation of single-species biofilm formation"	6
"GO:1902475 - L-alpha-amino acid transmembrane transport"	6
"GO:1903711 - spermidine transmembrane transport"	6
"GO:1904659 - glucose transmembrane transport"	6
"GO:0000302 - response to reactive oxygen species"	5
"GO:0000724 - double-strand break repair via homologous recombination"	5
"GO:0000731 - DNA synthesis involved in DNA repair"	5
"GO:0001510 - RNA methylation"	5
"GO:0005993 - trehalose catabolic process"	5
"GO:0006046 - N-acetylglucosamine catabolic process"	5
"GO:0006119 - oxidative phosphorylation"	5
"GO:0006206 - pyrimidine nucleobase metabolic process"	5
"GO:0006235 - dTTP biosynthetic process"	5
"GO:0006307 - DNA dealkylation involved in DNA repair"	5
"GO:0006354 - DNA-templated transcription elongation"	5
"GO:0006465 - signal peptide processing"	5
"GO:0006535 - cysteine biosynthetic process from serine"	5
"GO:0006537 - glutamate biosynthetic process"	5
"GO:0006564 - L-serine biosynthetic process"	5
"GO:0006565 - L-serine catabolic process"	5
"GO:0006791 - sulfur utilization"	5
"GO:0006793 - phosphorus metabolic process"	5
"GO:0006824 - cobalt ion transport"	5
"GO:0006855 - xenobiotic transmembrane transport"	5
"GO:0006869 - lipid transport"	5
"GO:0009062 - fatty acid catabolic process"	5
"GO:0009165 - nucleotide biosynthetic process"	5
"GO:0009250 - glucan biosynthetic process"	5
"GO:0009396 - folic acid-containing compound biosynthetic process"	5
"GO:0009436 - glyoxylate catabolic process"	5
"GO:0009442 - allantoin assimilation pathway"	5
"GO:0009889 - regulation of biosynthetic process"	5
"GO:0015740 - C4-dicarboxylate transport"	5
"GO:0015741 - fumarate transport"	5
"GO:0015767 - lactose transport"	5
"GO:0015794 - glycerol-3-phosphate transmembrane transport"	5
"GO:0015820 - leucine transport"	5
"GO:0015821 - methionine transport"	5
"GO:0015834 - peptidoglycan-associated peptide transport"	5
"GO:0015846 - polyamine transport"	5
"GO:0015860 - purine nucleoside transmembrane transport"	5
"GO:0015871 - choline transport"	5
"GO:0016054 - organic acid catabolic process"	5
"GO:0017038 - protein import"	5
"GO:0019243 - methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione"	5
"GO:0019317 - fucose catabolic process"	5
"GO:0019324 - L-lyxose metabolic process"	5
"GO:0019430 - removal of superoxide radicals"	5
"GO:0019448 - L-cysteine catabolic process"	5
"GO:0019544 - arginine catabolic process to glutamate"	5
"GO:0019545 - arginine catabolic process to succinate"	5
"GO:0019568 - arabinose catabolic process"	5
"GO:0019664 - mixed acid fermentation"	5
"GO:0019854 - L-ascorbic acid catabolic process"	5
"GO:0019856 - pyrimidine nucleobase biosynthetic process"	5
"GO:0019877 - diaminopimelate biosynthetic process"	5
"GO:0030632 - D-alanine biosynthetic process"	5
"GO:0031556 - transcriptional attenuation by ribosome"	5
"GO:0032150 - ubiquinone biosynthetic process from chorismate"	5
"GO:0033014 - tetrapyrrole biosynthetic process"	5
"GO:0033194 - response to hydroperoxide"	5
"GO:0033228 - cysteine export across plasma membrane"	5
"GO:0034628 - 'de novo' NAD biosynthetic process from aspartate"	5
"GO:0034644 - cellular response to UV"	5
"GO:0034775 - glutathione transmembrane transport"	5
"GO:0035434 - copper ion transmembrane transport"	5
"GO:0042732 - D-xylose metabolic process"	5
"GO:0042780 - tRNA 3'-end processing"	5
"GO:0042956 - maltodextrin transmembrane transport"	5
"GO:0043412 - macromolecule modification"	5
"GO:0043488 - regulation of mRNA stability"	5
"GO:0043687 - post-translational protein modification"	5
"GO:0044874 - lipoprotein localization to outer membrane"	5
"GO:0045975 - positive regulation of translation, ncRNA-mediated"	5
"GO:0046168 - glycerol-3-phosphate catabolic process"	5
"GO:0046474 - glycerophospholipid biosynthetic process"	5
"GO:0050896 - response to stimulus"	5
"GO:0050920 - regulation of chemotaxis"	5
"GO:0051259 - protein complex oligomerization"	5
"GO:0051596 - methylglyoxal catabolic process"	5
"GO:0060003 - copper ion export"	5
"GO:0061024 - membrane organization"	5
"GO:0061720 - 6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde"	5
"GO:0071578 - zinc ion import across plasma membrane"	5
"GO:0071977 - bacterial-type flagellum-dependent swimming motility"	5
"GO:0080090 - regulation of primary metabolic process"	5
"GO:0097428 - protein maturation by iron-sulfur cluster transfer"	5
"GO:0098711 - iron ion import across plasma membrane"	5
"GO:0098716 - nickel cation import across plasma membrane"	5
"GO:0120009 - intermembrane lipid transfer"	5
"GO:0140009 - L-aspartate import across plasma membrane"	5
"GO:0140205 - oligopeptide import across plasma membrane"	5
"GO:0140207 - tripeptide import across plasma membrane"	5
"GO:1901530 - response to hypochlorite"	5
"GO:1902601 - silver ion transmembrane transport"	5
"GO:1902777 - 6-sulfoquinovose(1-) catabolic process"	5
"GO:1903607 - cytochrome c biosynthetic process"	5
"GO:1903714 - isoleucine transmembrane transport"	5
"GO:1904334 - heme import across plasma membrane"	5
"GO:1905153 - regulation of membrane invagination"	5
"GO:1905887 - autoinducer AI-2 transmembrane transport"	5
"GO:1990169 - stress response to copper ion"	5
"GO:0000018 - regulation of DNA recombination"	4
"GO:0000256 - allantoin catabolic process"	4
"GO:0000272 - polysaccharide catabolic process"	4
"GO:0000413 - protein peptidyl-prolyl isomerization"	4
"GO:0001539 - cilium or flagellum-dependent cell motility"	4
"GO:0002949 - tRNA threonylcarbamoyladenosine modification"	4
"GO:0005977 - glycogen metabolic process"	4
"GO:0005978 - glycogen biosynthetic process"	4
"GO:0005980 - glycogen catabolic process"	4
"GO:0005991 - trehalose metabolic process"	4
"GO:0006002 - fructose 6-phosphate metabolic process"	4
"GO:0006011 - UDP-glucose metabolic process"	4
"GO:0006048 - UDP-N-acetylglucosamine biosynthetic process"	4
"GO:0006083 - acetate metabolic process"	4
"GO:0006084 - acetyl-CoA metabolic process"	4
"GO:0006101 - citrate metabolic process"	4
"GO:0006210 - thymine catabolic process"	4
"GO:0006274 - DNA replication termination"	4
"GO:0006304 - DNA modification"	4
"GO:0006468 - protein phosphorylation"	4
"GO:0006536 - glutamate metabolic process"	4
"GO:0006559 - L-phenylalanine catabolic process"	4
"GO:0006561 - proline biosynthetic process"	4
"GO:0006568 - tryptophan metabolic process"	4
"GO:0006596 - polyamine biosynthetic process"	4
"GO:0006616 - SRP-dependent cotranslational protein targeting to membrane, translocation"	4
"GO:0006655 - phosphatidylglycerol biosynthetic process"	4
"GO:0006796 - phosphate-containing compound metabolic process"	4
"GO:0006807 - nitrogen compound metabolic process"	4
"GO:0006808 - regulation of nitrogen utilization"	4
"GO:0006868 - glutamine transport"	4
"GO:0006878 - intracellular copper ion homeostasis"	4
"GO:0006885 - regulation of pH"	4
"GO:0006952 - defense response"	4
"GO:0007062 - sister chromatid cohesion"	4
"GO:0008156 - negative regulation of DNA replication"	4
"GO:0008653 - lipopolysaccharide metabolic process"	4
"GO:0009090 - homoserine biosynthetic process"	4
"GO:0009094 - L-phenylalanine biosynthetic process"	4
"GO:0009166 - nucleotide catabolic process"	4
"GO:0009185 - ribonucleoside diphosphate metabolic process"	4
"GO:0009247 - glycolipid biosynthetic process"	4
